fault_name,expected_microservice,rank,num_with_same_score,,,,
admin-order_abort_1011,ts-admin-order-service,21,17,,,,
admin-order_abort_1015,ts-admin-order-service,28,10,,,,
admin-order_cpu_1014,ts-admin-order-service,11,1,,,,
admin-order_cpu_1016,ts-admin-order-service,16,1,,,,
assurance+seat_cpu_1021,ts-assurance+seat-service,,,,,,
assurance_abort_1011,ts-assurance-service,17,25,,,,
assurance_abort_1015,ts-assurance-service,23,19,,,,
assurance_cpu_1012,ts-assurance-service,20,1,,,,
assurance_cpu_1016,ts-assurance-service,20,1,,,,
assurance_delay_1010,ts-assurance-service,22,1,,,,
assurance_delay_1014,ts-assurance-service,19,1,,,,
auth_abort_1011,ts-auth-service,15,27,,,,
auth_abort_1015,ts-auth-service,15,27,,,,
auth_cpu_1012,ts-auth-service,6,1,,,,
auth_cpu_1016,ts-auth-service,8,1,,,,
auth_delay_1010,ts-auth-service,21,21,,,,
auth_delay_1014,ts-auth-service,18,24,,,,
basic+train_cpu_1017,ts-basic+train-service,,,,,,
basic+train_cpu_1021,ts-basic+train-service,,,,,,
basic+train_delay_1021,ts-basic+train-service,,,,,,
basic_abort_1011,ts-basic-service,13,30,,,,
basic_abort_1015,ts-basic-service,15,28,,,,
basic_abort_1023,ts-basic-service,15,28,,,,
basic_cpu_1012,ts-basic-service,14,1,,,,
basic_cpu_1016,ts-basic-service,6,1,,,,
basic_delay_1025,ts-basic-service,5,1,,,,
cancel_abort_1011,ts-cancel-service,24,17,,,,
cancel_abort_1015,ts-cancel-service,27,14,,,,
cancel_abort_1023,ts-cancel-service,25,17,,,,
cancel_cpu_1012,ts-cancel-service,17,1,,,,
cancel_cpu_1016,ts-cancel-service,5,1,,,,
cancel_delay_1010,ts-cancel-service,11,1,,,,
cancel_delay_1014,ts-cancel-service,7,1,,,,
cancel_delay_1025,ts-cancel-service,9,1,,,,
config_abort_1011,ts-config-service,19,24,,,,
config_abort_1015,ts-config-service,20,24,,,,
config_cpu_1012,ts-config-service,9,1,,,,
config_cpu_1016,ts-config-service,12,1,,,,
config_delay_1010,ts-config-service,30,11,,,,
config_delay_1014,ts-config-service,24,17,,,,
config_delay_1025,ts-config-service,6,1,,,,
contacts_abort_1011,ts-contacts-service,19,25,,Exlude D column for empty C.,,
contacts_abort_1015,ts-contacts-service,18,26,,,,
contacts_cpu_1014,ts-contacts-service,13,1,,top1,0.021276596,
contacts_cpu_1016,ts-contacts-service,14,1,,top3,0.058510638,
contacts_delay_1010,ts-contacts-service,25,1,,top5,0.122340426,
contacts_delay_1014,ts-contacts-service,13,1,,ES,4.350282486,
food+seat_cpu_1017,ts-food+seat-service,,,,MAR,18.33333333,  12 are empty
food-map_abort_1011,ts-food-map-service,26,16,,ASP,9.446327684, 12 are empty
food-map_abort_1015,ts-food-map-service,25,17,,,,
food-map_abort_1023,ts-food-map-service,33,7,,,,
food-map_cpu_1012,ts-food-map-service,10,1,,,,
food-map_cpu_1016,ts-food-map-service,3,1,,,,
food-map_delay_1010,ts-food-map-service,18,1,,,,
food-map_delay_1014,ts-food-map-service,10,1,,,,
food-map_delay_1025,ts-food-map-service,20,1,,,,
food_abort_1011,ts-food-service,23,21,,,,
food_abort_1015,ts-food-service,24,19,,,,
food_cpu_1014,ts-food-service,12,1,,,,
food_cpu_1016,ts-food-service,13,1,,,,
food_delay_1010,ts-food-service,13,1,,,,
food_delay_1014,ts-food-service,7,1,,,,
inside-payment_abort_1011,ts-inside-payment-service,26,18,,,,
inside-payment_abort_1015,ts-inside-payment-service,25,19,,,,
inside-payment_cpu_1014,ts-inside-payment-service,10,1,,,,
inside-payment_cpu_1016,ts-inside-payment-service,16,1,,,,
inside-payment_delay_1010,ts-inside-payment-service,19,1,,,,
inside-payment_delay_1014,ts-inside-payment-service,10,1,,,,
inside-payment_delay_1025,ts-inside-payment-service,15,1,,,,
notification_abort_1015,ts-notification-service,33,9,,,,
notification_cpu_1012,ts-notification-service,1,4,,,,
notification_cpu_1016,ts-notification-service,1,3,,,,
notification_delay_1010,ts-notification-service,4,1,,,,
notification_delay_1014,ts-notification-service,27,1,,,,
notification_delay_1025,ts-notification-service,2,3,,,,
order+train_cpu_1021,ts-order+train-service,,,,,,
order-other+assurance_cpu_1021,ts-order-other+assurance-service,,,,,,
order-other_abort_1011,ts-order-other-service,28,19,,,,
order-other_abort_1015,ts-order-other-service,27,20,,,,
order-other_abort_1023,ts-order-other-service,27,22,,,,
order-other_cpu_1012,ts-order-other-service,25,1,,,,
order-other_cpu_1016,ts-order-other-service,26,1,,,,
order-other_delay_1010,ts-order-other-service,26,15,,,,
order-other_delay_1014,ts-order-other-service,9,1,,,,
order_abort_1011,ts-order-service,25,26,,,,
order_abort_1015,ts-order-service,26,25,,,,
order_abort_1023,ts-order-service,27,25,,,,
order_cpu_1012,ts-order-service,11,1,,,,
order_cpu_1016,ts-order-service,8,1,,,,
order_delay_1010,ts-order-service,7,1,,,,
order_delay_1014,ts-order-service,6,1,,,,
order_delay_1025,ts-order-service,8,1,,,,
payment_abort_1015,ts-payment-service,27,18,,,,
payment_cpu_1014,ts-payment-service,5,1,,,,
payment_cpu_1016,ts-payment-service,27,16,,,,
payment_delay_1010,ts-payment-service,16,1,,,,
payment_delay_1014,ts-payment-service,8,1,,,,
payment_delay_1025,ts-payment-service,30,11,,,,
preserve_abort_1011,ts-preserve-service,30,16,,,,
preserve_abort_1015,ts-preserve-service,31,13,,,,
preserve_cpu_1012,ts-preserve-service,8,1,,,,
preserve_cpu_1016,ts-preserve-service,3,1,,,,
preserve_delay_1025,ts-preserve-service,23,1,,,,
price+admin-order_cpu_1021,ts-price+admin-order-service,,,,,,
price_abort_1015,ts-price-service,29,26,,,,
price_abort_1024,ts-price-service,29,27,,,,
price_cpu_1014,ts-price-service,3,3,,,,
price_cpu_1016,ts-price-service,31,13,,,,
price_delay_1014,ts-price-service,33,11,,,,
price_delay_1025,ts-price-service,30,15,,,,
route-plan_abort_1011,ts-route-plan-service,30,15,,,,
route-plan_abort_1015,ts-route-plan-service,33,13,,,,
route_abort_1024,ts-route-service,30,27,,,,
route_cpu_1014,ts-route-service,4,1,,,,
route_cpu_1016,ts-route-service,4,1,,,,
route_delay_1014,ts-route-service,7,1,,,,
seat_abort_1011,ts-seat-service,30,28,,,,
seat_abort_1015,ts-seat-service,29,28,,,,
seat_abort_1024,ts-seat-service,33,26,,,,
seat_cpu_1014,ts-seat-service,23,1,,,,
seat_cpu_1016,ts-seat-service,32,12,,,,
seat_delay_1010,ts-seat-service,32,16,,,,
seat_delay_1014,ts-seat-service,32,15,,,,
seat_delay_1025,ts-seat-service,4,1,,,,
security_abort_1023,ts-security-service,33,17,,,,
security_cpu_1012,ts-security-service,12,1,,,,
security_cpu_1016,ts-security-service,34,10,,,,
security_delay_1010,ts-security-service,34,10,,,,
security_delay_1014,ts-security-service,35,8,,,,
security_delay_1025,ts-security-service,4,1,,,,
station+basic_delay_1021,ts-station+basic-service,,,,,,
station_abort_1011,ts-station-service,31,28,,,,
station_abort_1015,ts-station-service,31,28,,,,
station_abort_1023,ts-station-service,32,27,,,,
station_cpu_1012,ts-station-service,8,1,,,,
station_cpu_1016,ts-station-service,15,1,,,,
station_delay_1025,ts-station-service,31,28,,,,
ticketinfo_abort_1011,ts-ticketinfo-service,33,26,,,,
ticketinfo_abort_1024,ts-ticketinfo-service,33,29,,,,
ticketinfo_cpu_1014,ts-ticketinfo-service,5,1,,,,
ticketinfo_cpu_1016,ts-ticketinfo-service,10,1,,,,
ticketinfo_delay_1010,ts-ticketinfo-service,2,1,,,,
ticketinfo_delay_1025,ts-ticketinfo-service,7,1,,,,
train+order_delay_1021,ts-train+order-service,,,,,,
train_abort_1011,ts-train-service,32,26,,,,
train_abort_1015,ts-train-service,32,26,,,,
train_cpu_1012,ts-train-service,1,1,,,,
train_cpu_1016,ts-train-service,13,1,,,,
train_delay_1010,ts-train-service,12,1,,,,
train_delay_1025,ts-train-service,9,1,,,,
travel-plan_abort_1015,ts-travel-plan-service,35,14,,,,
travel-plan_cpu_1012,ts-travel-plan-service,36,7,,,,
travel_abort_1011,ts-travel-service,33,30,,,,
travel_abort_1015,ts-travel-service,33,30,,,,
travel_cpu_1014,ts-travel-service,13,1,,,,
travel_cpu_1016,ts-travel-service,12,2,,,,
travel_delay_1010,ts-travel-service,14,1,,,,
travel_delay_1014,ts-travel-service,6,1,,,,
travel_delay_1025,ts-travel-service,34,16,,,,
user+verification-code_cpu_1021,ts-user+verification-code-service,,,,,,
user_abort_1011,ts-user-service,36,15,,,,
user_abort_1015,ts-user-service,36,15,,,,
user_abort_1023,ts-user-service,36,13,,,,
user_cpu_1012,ts-user-service,1,2,,,,
user_cpu_1016,ts-user-service,5,1,,,,
user_delay_1010,ts-user-service,10,1,,,,
user_delay_1014,ts-user-service,6,1,,,,
user_delay_1025,ts-user-service,3,1,,,,
verification-code_abort_1011,ts-verification-code-service,36,25,,,,
verification-code_abort_1015,ts-verification-code-service,36,28,,,,
verification-code_abort_1023,ts-verification-code-service,36,22,,,,
verification-code_cpu_1012,ts-verification-code-service,24,1,,,,
verification-code_cpu_1016,ts-verification-code-service,15,1,,,,
verification-code_delay_1010,ts-verification-code-service,9,1,,,,
verification-code_delay_1014,ts-verification-code-service,4,1,,,,
verification-code_delay_1025,ts-verification-code-service,13,1,,,,
basic_delay_0414,basic,9,1,,,,
basic_delay_0420,basic,12,1,,,,
order-other_delay_0414,order,17,4,,,,
order-other_delay_0420,order,18,3,,,,
route_delay_0414,route,,,,,,
route_delay_0421,route,,,,,,
security_delay_0421,security,13,1,,,,
station_delay_0402,station,,,,,,
station_delay_0414,station,,,,,,
station_delay_0421,station,,,,,,
ticketinfo_delay_0414,ticketinfo,18,4,,,,
ticketinfo_delay_0421,ticketinfo,2,1,,,,
train_delay_0414,train,,,,,,
user_delay_0421,user,,,,,,
basic_delay_0415,basic,5,1,,,,
route_delay_0415,route,,,,,,
ticketinfo_delay_0402,ticketinfo,14,18,,,,
ticketinfo_delay_0430,ticketinfo,18,4,,,,
train_delay_0415,train,,,,,,
train_delay_0429,train,,,,,,
train_delay_0430,train,,,,,,
travel-plan_delay_0430,travel,8,1,,,,
travel_delay_0415,travel,7,1,,,,
user_delay_0430,user,,,,,,
